transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale
22,25/11/2023,17:11:00,66,Male,18,Clothing,2,50,60.5,100
37,26/05/2023,22:42:00,2,Female,18,Beauty,3,25,8.75,75
58,16/09/2023,19:18:00,53,Male,18,Clothing,4,300,75,1200
62,16/09/2023,12:54:00,50,Male,18,Beauty,2,50,26.5,100
74,05/10/2023,19:50:00,56,Female,18,Beauty,4,500,205,2000
148,03/07/2023,20:39:00,5,Male,18,Clothing,2,30,9.9,60
169,28/11/2022,18:47:00,73,Male,18,Beauty,3,500,145,1500
283,01/06/2023,20:08:00,3,Female,18,Electronics,1,500,165,500
305,22/03/2023,22:09:00,4,Female,18,Beauty,1,30,14.4,30
326,23/11/2023,19:51:00,108,Female,18,Clothing,3,25,24.25,75
461,18/07/2023,10:33:00,21,Female,18,Beauty,2,500,265,1000
469,21/03/2023,19:24:00,4,Male,18,Beauty,3,25,8.75,75
514,04/11/2022,08:35:00,139,Female,18,Electronics,1,300,96,300
530,01/05/2022,07:52:00,8,Female,18,Electronics,4,30,9,120
538,22/12/2023,18:20:00,102,Male,18,Clothing,3,50,56.5,150
556,05/02/2022,17:37:00,42,Female,18,Electronics,1,50,12.5,50
595,15/10/2022,21:35:00,65,Female,18,Clothing,4,500,210,2000
679,26/08/2022,08:59:00,64,Female,18,Beauty,,,,
714,29/10/2022,08:50:00,20,Female,18,Clothing,1,500,190,500
837,15/01/2023,20:35:00,53,Male,18,Beauty,3,30,7.5,90
847,10/01/2023,08:42:00,2,Female,18,Electronics,4,300,162,1200
1022,05/09/2023,17:49:00,69,Male,18,Clothing,2,50,52.5,100
1037,17/10/2023,17:38:00,2,Female,18,Beauty,3,25,11.5,75
1058,30/10/2022,18:31:00,100,Male,18,Clothing,4,300,153,1200
1062,20/12/2022,16:05:00,69,Male,18,Beauty,2,50,21.5,100
1074,04/10/2022,20:18:00,67,Female,18,Beauty,4,500,230,2000
1148,11/08/2023,22:04:00,2,Male,18,Clothing,2,30,10.8,60
1169,25/09/2022,17:12:00,101,Male,18,Beauty,3,500,255,1500
1283,14/10/2023,20:15:00,1,Female,18,Electronics,1,500,130,500
1305,05/04/2023,18:24:00,5,Female,18,Beauty,1,30,7.8,30
1326,01/09/2023,22:35:00,66,Female,18,Clothing,3,25,28.75,75
1461,01/05/2023,08:43:00,63,Female,18,Beauty,2,500,180,1000
1469,08/12/2023,17:22:00,3,Male,18,Beauty,3,25,12.5,75
1514,12/07/2022,10:55:00,59,Female,18,Electronics,1,300,75,300
1530,10/12/2022,08:17:00,93,Female,18,Electronics,4,30,12.3,120
1538,12/09/2022,20:57:00,21,Male,18,Clothing,3,50,53.5,150
1556,17/05/2023,19:13:00,35,Female,18,Electronics,1,50,22.5,50
1595,04/10/2023,17:44:00,115,Female,18,Clothing,4,500,255,2000
1679,23/09/2022,08:08:00,71,Female,18,Beauty,3,30,15.3,90
1714,23/11/2022,06:07:00,111,Female,18,Clothing,1,500,245,500
1837,29/03/2023,20:45:00,32,Male,18,Beauty,3,30,8.1,90
1847,28/07/2023,07:14:00,5,Female,18,Electronics,4,300,123,1200
16,25/06/2022,10:33:00,82,Male,19,Clothing,3,500,180,1500
86,29/09/2023,18:55:00,69,Male,19,Beauty,3,30,15.6,90
117,04/08/2023,11:38:00,8,Male,19,Electronics,2,500,230,1000
181,06/11/2023,19:59:00,79,Male,19,Electronics,4,300,327,1200
257,10/12/2022,08:49:00,130,Male,19,Beauty,4,500,165,2000
266,12/09/2022,18:26:00,66,Female,19,Electronics,2,30,14.4,60
300,08/01/2022,09:41:00,138,Female,19,Electronics,4,50,26.5,200
303,22/04/2022,11:09:00,54,Male,19,Electronics,3,30,14.7,90
364,07/06/2022,19:06:00,98,Female,19,Beauty,1,500,200,500
391,25/03/2022,07:37:00,68,Male,19,Beauty,2,25,6.25,50
412,04/09/2022,19:36:00,30,Female,19,Electronics,4,500,570,2000
484,13/03/2022,07:52:00,135,Female,19,Clothing,4,300,75,1200
533,13/11/2022,17:19:00,92,Male,19,Electronics,3,500,155,1500
594,07/09/2023,21:49:00,72,Female,19,Electronics,2,300,291,600
601,05/06/2023,09:23:00,5,Male,19,Clothing,1,30,13.2,30
628,23/12/2023,18:00:00,66,Female,19,Beauty,4,50,59.5,200
677,17/12/2022,21:13:00,65,Female,19,Beauty,3,500,555,1500
709,22/09/2022,22:32:00,61,Female,19,Electronics,2,500,140,1000
812,02/10/2023,17:45:00,89,Male,19,Electronics,3,25,11.25,75
979,18/05/2022,10:18:00,6,Female,19,Beauty,1,25,10.5,25
985,13/06/2023,22:33:00,113,Female,19,Electronics,2,25,9,50
1016,12/12/2022,07:39:00,52,Male,19,Clothing,3,500,200,1500
1086,14/09/2023,19:50:00,84,Male,19,Beauty,3,30,16.5,90
1117,11/09/2023,07:48:00,144,Male,19,Electronics,2,500,210,1000
1181,06/11/2022,18:28:00,84,Male,19,Electronics,4,300,354,1200
1257,10/05/2022,11:55:00,29,Male,19,Beauty,4,500,255,2000
1266,03/09/2023,20:08:00,79,Female,19,Electronics,2,30,15.6,60
1300,08/08/2022,08:57:00,7,Female,19,Electronics,4,50,24,200
1303,19/03/2022,08:59:00,58,Male,19,Electronics,3,30,15,90
1364,23/09/2023,17:04:00,72,Female,19,Beauty,1,500,250,500
1412,13/10/2022,19:59:00,75,Female,19,Electronics,4,500,615,2000
1484,23/11/2022,09:29:00,22,Female,19,Clothing,4,300,147,1200
1533,29/10/2022,19:35:00,67,Male,19,Electronics,3,500,255,1500
1594,01/10/2023,19:02:00,31,Female,19,Electronics,2,300,345,600
1601,14/09/2023,11:48:00,1,Male,19,Clothing,1,30,13.5,30
1628,28/12/2022,22:23:00,51,Female,19,Beauty,4,50,58.5,200
1677,02/10/2022,20:51:00,84,Female,19,Beauty,3,500,490,1500
1709,13/09/2023,20:22:00,97,Female,19,Electronics,2,500,185,1000
1812,25/10/2023,22:19:00,85,Male,19,Electronics,3,25,12,75
1979,17/08/2022,11:34:00,102,Female,19,Beauty,1,25,7.75,25
1985,31/03/2023,20:15:00,113,Female,19,Electronics,2,25,9.75,50
46,08/11/2022,17:50:00,54,Female,20,Electronics,4,300,84,1200
72,06/12/2023,19:19:00,5,Female,20,Electronics,4,500,195,2000
133,23/06/2022,09:01:00,70,Male,20,Electronics,3,300,87,900
135,18/04/2022,07:22:00,104,Male,20,Clothing,2,25,13,50
186,31/03/2022,18:15:00,92,Male,20,Clothing,4,50,23.5,200
214,05/11/2022,16:31:00,53,Male,20,Beauty,2,30,8.1,60
249,28/09/2022,20:17:00,109,Male,20,Clothing,1,50,53.5,50
292,10/10/2022,06:33:00,111,Male,20,Beauty,4,300,141,1200
371,18/12/2022,10:01:00,32,Female,20,Beauty,1,25,13,25
542,01/06/2023,18:41:00,50,Female,20,Beauty,1,50,24,50
557,27/09/2023,20:01:00,155,Female,20,Beauty,3,30,12.9,90
563,21/12/2022,18:40:00,150,Male,20,Clothing,2,30,16.2,60
602,12/12/2023,16:46:00,75,Female,20,Electronics,1,300,96,300
722,24/02/2023,18:35:00,25,Male,20,Beauty,3,300,162,900
792,04/01/2023,22:50:00,4,Female,20,Beauty,1,50,26.5,50
839,11/11/2023,21:02:00,130,Female,20,Electronics,4,300,96,1200
878,26/10/2023,18:53:00,31,Female,20,Clothing,1,30,11.7,30
892,13/09/2023,11:39:00,1,Male,20,Electronics,1,50,24,50
906,19/07/2022,17:55:00,6,Female,20,Clothing,1,50,17,50
910,21/08/2022,06:29:00,138,Female,20,Beauty,3,50,22.5,150
940,05/01/2022,08:11:00,46,Female,20,Electronics,1,30,9.6,30
1046,21/07/2023,21:47:00,5,Female,20,Electronics,4,300,156,1200
1072,24/02/2023,18:10:00,4,Female,20,Electronics,4,500,180,2000
1133,05/03/2022,06:42:00,58,Male,20,Electronics,3,300,159,900
1135,14/01/2022,08:16:00,124,Male,20,Clothing,2,25,12.5,50
1186,10/09/2023,18:24:00,5,Male,20,Clothing,4,50,18.5,200
1214,18/11/2023,14:24:00,50,Male,20,Beauty,2,30,11.1,60
1249,10/12/2022,21:44:00,95,Male,20,Clothing,1,50,60,50
1292,15/05/2022,08:20:00,88,Male,20,Beauty,4,300,90,1200
1371,06/05/2022,06:52:00,41,Female,20,Beauty,1,25,13.5,25
1542,17/05/2023,20:30:00,147,Female,20,Beauty,1,50,14.5,50
1557,04/08/2022,17:01:00,14,Female,20,Beauty,3,30,10.2,90
1563,13/10/2022,17:44:00,22,Male,20,Clothing,2,30,15.3,60
1602,01/12/2022,15:17:00,86,Female,20,Electronics,1,300,126,300
1722,30/01/2022,20:38:00,22,Male,20,Beauty,3,300,159,900
1792,26/08/2023,17:37:00,88,Female,20,Beauty,1,50,26.5,50
1839,28/08/2022,21:57:00,92,Female,20,Electronics,4,300,156,1200
1878,24/01/2023,22:56:00,97,Female,20,Clothing,1,30,7.5,30
1892,01/10/2023,07:22:00,3,Male,20,Electronics,1,50,23.5,50
1906,01/10/2022,20:10:00,58,Female,20,Clothing,1,50,26.5,50
1910,09/10/2022,06:22:00,141,Female,20,Beauty,3,50,18,150
1940,15/06/2022,09:47:00,56,Female,20,Electronics,1,30,11.1,30
61,07/07/2023,11:47:00,4,Male,21,Beauty,4,50,20,200
107,06/10/2022,09:18:00,75,Female,21,Clothing,4,300,78,1200
129,17/04/2023,17:42:00,1,Female,21,Beauty,2,300,75,600
131,29/09/2023,22:32:00,44,Female,21,Beauty,2,300,375,600
212,12/10/2023,18:13:00,105,Male,21,Clothing,3,500,215,1500
242,01/10/2023,18:28:00,1,Male,21,Clothing,1,25,8,25
261,06/02/2022,17:48:00,16,Male,21,Clothing,2,25,8.25,50
276,18/10/2023,21:27:00,40,Female,21,Beauty,4,25,27.5,100
343,09/11/2022,18:44:00,68,Male,21,Electronics,2,25,30,50
389,11/11/2022,19:06:00,109,Male,21,Clothing,2,25,12.25,50
409,17/12/2023,12:30:00,55,Female,21,Electronics,3,300,87,900
446,02/11/2022,19:57:00,104,Male,21,Electronics,1,50,13,50
537,01/10/2023,18:07:00,98,Female,21,Beauty,1,500,275,500
577,21/04/2022,11:55:00,45,Male,21,Beauty,4,500,215,2000
636,09/05/2023,06:15:00,60,Female,21,Beauty,3,500,230,1500
801,01/12/2022,17:14:00,153,Male,21,Clothing,4,50,19,200
843,25/01/2023,22:46:00,3,Male,21,Beauty,3,500,180,1500
853,14/05/2023,22:29:00,3,Male,21,Beauty,2,500,155,1000
867,24/07/2022,22:40:00,152,Male,21,Electronics,1,500,185,500
900,10/11/2022,08:41:00,130,Male,21,Clothing,2,30,15.6,60
1061,18/09/2023,07:56:00,3,Male,21,Beauty,4,50,12.5,200
1107,31/12/2022,11:14:00,62,Female,21,Clothing,4,300,102,1200
1129,08/09/2023,21:46:00,1,Female,21,Beauty,2,300,156,600
1131,31/12/2022,19:16:00,130,Female,21,Beauty,2,300,336,600
1212,16/03/2022,18:05:00,142,Male,21,Clothing,3,500,265,1500
1242,27/11/2023,18:32:00,5,Male,21,Clothing,1,25,11.25,25
1261,27/09/2022,21:19:00,116,Male,21,Clothing,2,25,6.25,50
1276,11/10/2022,18:54:00,140,Female,21,Beauty,4,25,27,100
1343,21/10/2023,20:10:00,87,Male,21,Electronics,2,25,28.5,50
1389,27/09/2023,18:11:00,60,Male,21,Clothing,2,25,9.5,50
1409,22/11/2023,12:15:00,102,Female,21,Electronics,3,300,138,900
1446,23/01/2022,18:55:00,155,Male,21,Electronics,1,50,23.5,50
1537,29/11/2022,17:57:00,116,Female,21,Beauty,1,500,140,500
1577,11/09/2022,06:22:00,145,Male,21,Beauty,4,500,160,2000
1636,22/07/2023,11:26:00,50,Female,21,Beauty,3,500,150,1500
1801,10/07/2022,22:01:00,148,Male,21,Clothing,4,50,13.5,200
1843,21/09/2023,18:58:00,1,Male,21,Beauty,3,500,240,1500
1853,29/05/2023,18:39:00,2,Male,21,Beauty,2,500,190,1000
1867,16/05/2023,19:55:00,144,Male,21,Electronics,1,500,190,500
1900,21/01/2022,06:43:00,65,Male,21,Clothing,2,30,10.8,60
13,08/02/2023,17:43:00,106,Male,22,Electronics,3,500,245,1500
20,12/12/2023,21:35:00,85,Male,22,Clothing,3,300,345,900
42,08/12/2022,08:29:00,63,Male,22,Clothing,3,300,147,900
44,03/03/2022,11:07:00,93,Female,22,Clothing,1,25,11.75,25
76,09/09/2023,07:33:00,70,Female,22,Electronics,2,50,14.5,100
105,18/06/2023,18:05:00,82,Female,22,Electronics,1,500,230,500
114,17/04/2022,20:57:00,92,Female,22,Beauty,4,25,9.25,100
141,01/11/2022,19:26:00,54,Female,22,Electronics,1,50,59,50
149,14/10/2023,17:52:00,73,Male,22,Clothing,3,25,27,75
273,26/09/2023,20:24:00,1,Female,22,Beauty,1,50,14.5,50
296,31/12/2022,22:44:00,73,Female,22,Clothing,4,300,369,1200
317,04/05/2022,07:54:00,117,Male,22,Electronics,3,30,12,90
339,18/08/2022,10:27:00,33,Female,22,Electronics,2,25,10.25,50
393,19/10/2022,18:52:00,85,Female,22,Beauty,2,500,595,1000
406,01/04/2023,11:50:00,3,Female,22,Beauty,4,25,11,100
420,02/01/2022,10:53:00,28,Female,22,Clothing,4,500,200,2000
447,18/04/2023,17:57:00,37,Male,22,Beauty,4,500,245,2000
597,01/11/2022,19:29:00,84,Male,22,Beauty,4,300,111,1200
606,13/06/2023,20:19:00,2,Male,22,Electronics,1,50,19.5,50
